Author,Text,Label,,Error
Big K.R.I.T.,"Yooo whats good witcha yall ...Who should I put on Tha ""what you mean"" remix ....",0,,"""whats"" should be ""what's"" as a contraction for ""what is.""
""witcha"" should be ""with you"" for clarity and proper spelling.
""Tha"" should be ""the"" for correct spelling."
Jessica Alba,H eating din w her new crazy hat http://instagr.am/p/PA0HbjsuiE/,0,,"""din"" should be ""dinner"" for clarity and proper spelling."
Dwight Howard,Fruit roll ups or fruit by the foot. Which ones better ???,0,,"""ones"" should be ""one's"" as a contraction for ""one is."""
JWOWW,Totally love this message http://bit.ly/JWBeauty Ur beautiful no matter what ur wearing.,1,,
50 Cent,French Montana you ain't Sh!t boy. You out your league talking about me you hoe.i read your little interview what the fucx is you high.,0,,"""Sh!t"" should be ""shit"" for proper spelling.
""ain't"" should be ""aren't"" for grammatical correctness.
""boy"" should be capitalized as ""Boy"" for clarity and respect.
""hoe.i"" should be ""hoe. I"" for proper spacing.
""fucx"" should be ""fuck"" for correct spelling."
"Michael ""The Situation"" Sorrentino","""The Situation"" Sorrentino: Well internet is mad slow so now Me n Moses r Breaking out the PLaystation Vita n im Playin Madden NFL 2013!He will never beatme !Hes a Pup",0,,"""Me n Moses r"" should be ""Moses and I are"" for proper grammar.
""PLaystation"" should be ""PlayStation"" for correct spelling.
""n im Playin"" should be ""and I'm playing"" for clarity and proper grammar.
""Madden NFL 2013!He"" should be ""Madden NFL 2013! He"" for proper spacing.
""beatme"" should be ""beat me"" for clarity and proper spacing."
Lamar Odom,how can U get mad at me time is money thats why i wait 4 no body/and I'm snatching it know/ Im the ValiSpit Torian N a class full of clowns,0,,"""U"" should be ""you"" for proper spelling.
""thats"" should be ""that's"" as a contraction for ""that is.""
""4"" should be ""for"" for correct spelling.
""know"" should be ""now"" for the intended meaning.
""ValiSpit"" and ""Torian"" are unclear and may be intended as slang or creative terms."
Waka Flocka Flame,Obama is gettin the second term. Flocka is gettin Elected 2016 #FACT #FlockaForPresident2016,0,,"""gettin"" should be ""getting"" for proper spelling, ""Flocka"" should be ""Flocka"" for consistency."
Chris Brown,The hardest part about being Chris Brown is actually realizing your him!,0,,"""your"" should be ""you're"" as a contraction for ""you are."""
E-40,We In This Thang Breh! #SFGiants,1,,"""Thang"" should be ""thing"" for proper spelling."
"Tyler, the Creator","The reluctant Odd Future leader is, well, just being Tyler. And with over 1200 retweets, his fan base probably thinks ""Hi"" is now spelled ""Hai.",0,,"""spelled"" should be ""spelt"" for British English spelling."
Rick Ross,"When tweeting, Miami rap giant Rick Ross often reverts to using slang. Label this under Boss Decisions.",1,,
LisaRaye,Wow so much birthday love I'm overwhelmd but thank you all so very much......,1,,
Charlie Sheen,No UK? Say's who,1,,
Alicia Keys,Come in2my dressing room & behind the scenes 4my #AKGirlOnFire Inferno Version music video? Take a look... just me&U!,1,,
Dan Marino,How nice is it to have NFL on Thursday Nights this early in the season.,1,,
Malika Haqq,I get why they say stress will kill you cus it sure feels like dying.,1,,
Reagan Gomez,"If ur a woman & uv recently married/divorced since u registered, please go to http://GottaVote.Org 2 make sure ur not turned away this Nov.",1,,
NeNe Leakes,Lawd hav mercy this is really getting dark! RHONJ reunion,1,,
Coco,"Tip 66-Get booty & thighs tight by doing Squats that end with a jump.Its easy, squat down low,then jump high.Do 20,rest,repeat",1,,
Kevin Hart,"LMFAO at @thegame Album cover, your the only person in the world that would make JESUS a thug in a picture lol!!! http://yfrog.com/kjf00plj",1,,
: They say when u have alotta indigestion while pregnant that means ur baby has alotta Hair....This boy betta have hair down 2 his butt ;-),They say when u have alotta indigestion while pregnant that means ur baby has alotta Hair....This boy betta have hair down 2 his butt ;-),1,,
Jim Jones,My flight is almost over we will continue this on my rhide to Mississippi #vampirelife #VampTheVote,0,,"""rhide"" should be corrected to ""ride"" for proper spelling."
Jamie Oliver,anouther true story a massive amount of uk farmers use human waist as fertiliser on there land! do any other countrys do this? is this normal,0,,"""anouther"" should be corrected to ""another"" for proper spelling.
""waist"" should be corrected to ""waste"" for the intended meaning."
Jose Canseco,"Class in session ,I complete you ,slap a hoe wait I mean hater",0,,"""slap a hoe wait I mean hater"" should be revised for appropriateness and clarity."
Mary J. Blige,Why is that people always try to understand estimate my intelligents?! They should never do that! ,0,,"""estimate my intelligents"" should be corrected to ""estimate my intelligence"" for proper grammar."
Chief Keef,Dey say im no good Becuz im so hood Rich folks do not want me around Cuz it might pop and wen it pop off Somebody gone grt laid fa fuck out!,0,,"""Dey"" should be ""They"" for proper spelling.
""Becuz"" should be ""Because"" for correct spelling.
""wen"" should be ""when"" for proper spelling.
""grt"" should be ""get"" for correct spelling.
""fa"" should be ""for"" for clarity and proper spelling."
2Chainz,"I DONT DO REMIXES,,, i got too much NEW sht i kan put out! Remixes extend the life of a record, im 2 bz tryn to go to the next 1",0,,"""i"" should be capitalized as ""I"" for correct grammar.
""sht"" should be ""shit"" for proper spelling.
""kan"" should be ""can"" for correct spelling.
""bz"" should be ""busy"" for clarity and proper spelling.
""tryn"" should be ""trying"" for correct spelling."
Wale,Theydontgetmedoe,0,,"""Theydontgetmedoe"" should be separated for clarity and proper spelling: ""They don't get me though."""
